Nd,n_i,V_bias,mean_E,U_E,C_E,f_act_50,Lambda_phi,max_E,solve_time,Newton_iterations,converged
1e+20,1e+18,0.1,0,0,0,0,0,0,0,0,0
1e+20,1e+18,0.3,0,0,0,0,0,0,0,0,0
1e+20,1e+18,0.5,0,0,0,0,0,0,0,0,0
1e+20,1e+19,0.1,0,0,0,0,0,0,0,0,0
1e+20,1e+19,0.3,0,0,0,0,0,0,0,0,0
1e+20,1e+19,0.5,0,0,0,0,0,0,0,0,0
1e+20,1e+20,0.1,0,0,0,0,0,0,0,0,0
1e+20,1e+20,0.3,0,0,0,0,0,0,0,0,0
1e+20,1e+20,0.5,0,0,0,0,0,0,0,0,0
1e+20,1e+21,0.1,0,0,0,0,0,0,0,0,0
1e+20,1e+21,0.3,0,0,0,0,0,0,0,0,0
1e+20,1e+21,0.5,0,0,0,0,0,0,0,0,0
3e+20,1e+18,0.1,0,0,0,0,0,0,0,0,0
3e+20,1e+18,0.3,0,0,0,0,0,0,0,0,0
3e+20,1e+18,0.5,0,0,0,0,0,0,0,0,0
3e+20,1e+19,0.1,0,0,0,0,0,0,0,0,0
3e+20,1e+19,0.3,0,0,0,0,0,0,0,0,0
3e+20,1e+19,0.5,0,0,0,0,0,0,0,0,0
3e+20,1e+20,0.1,0,0,0,0,0,0,0,0,0
3e+20,1e+20,0.3,0,0,0,0,0,0,0,0,0
3e+20,1e+20,0.5,0,0,0,0,0,0,0,0,0
3e+20,1e+21,0.1,0,0,0,0,0,0,0,0,0
3e+20,1e+21,0.3,0,0,0,0,0,0,0,0,0
3e+20,1e+21,0.5,0,0,0,0,0,0,0,0,0
1e+21,1e+18,0.1,0,0,0,0,0,0,0,0,0
1e+21,1e+18,0.3,0,0,0,0,0,0,0,0,0
1e+21,1e+18,0.5,0,0,0,0,0,0,0,0,0
1e+21,1e+19,0.1,0,0,0,0,0,0,0,0,0
1e+21,1e+19,0.3,0,0,0,0,0,0,0,0,0
1e+21,1e+19,0.5,0,0,0,0,0,0,0,0,0
1e+21,1e+20,0.1,0,0,0,0,0,0,0,0,0
1e+21,1e+20,0.3,0,0,0,0,0,0,0,0,0
1e+21,1e+20,0.5,0,0,0,0,0,0,0,0,0
1e+21,1e+21,0.1,0,0,0,0,0,0,0,0,0
1e+21,1e+21,0.3,0,0,0,0,0,0,0,0,0
1e+21,1e+21,0.5,0,0,0,0,0,0,0,0,0
3e+21,1e+18,0.1,0,0,0,0,0,0,0,0,0
3e+21,1e+18,0.3,0,0,0,0,0,0,0,0,0
3e+21,1e+18,0.5,0,0,0,0,0,0,0,0,0
3e+21,1e+19,0.1,0,0,0,0,0,0,0,0,0
3e+21,1e+19,0.3,0,0,0,0,0,0,0,0,0
3e+21,1e+19,0.5,0,0,0,0,0,0,0,0,0
3e+21,1e+20,0.1,0,0,0,0,0,0,0,0,0
3e+21,1e+20,0.3,0,0,0,0,0,0,0,0,0
3e+21,1e+20,0.5,0,0,0,0,0,0,0,0,0
3e+21,1e+21,0.1,0,0,0,0,0,0,0,0,0
3e+21,1e+21,0.3,0,0,0,0,0,0,0,0,0
3e+21,1e+21,0.5,0,0,0,0,0,0,0,0,0
1e+22,1e+18,0.1,0,0,0,0,0,0,0,0,0
1e+22,1e+18,0.3,0,0,0,0,0,0,0,0,0
1e+22,1e+18,0.5,0,0,0,0,0,0,0,0,0
1e+22,1e+19,0.1,0,0,0,0,0,0,0,0,0
1e+22,1e+19,0.3,0,0,0,0,0,0,0,0,0
1e+22,1e+19,0.5,0,0,0,0,0,0,0,0,0
1e+22,1e+20,0.1,0,0,0,0,0,0,0,0,0
1e+22,1e+20,0.3,0,0,0,0,0,0,0,0,0
1e+22,1e+20,0.5,0,0,0,0,0,0,0,0,0
1e+22,1e+21,0.1,0,0,0,0,0,0,0,0,0
1e+22,1e+21,0.3,0,0,0,0,0,0,0,0,0
1e+22,1e+21,0.5,0,0,0,0,0,0,0,0,0
